公司名,城,注册号
苏州相城经济开发区琳桥绿化有限公司,江苏,320507000004212
苏州第壹制药有限公司,江苏,320594400013985
苏州金螳螂建筑装饰股份有限公司,江苏,320000400000964
苏州阳澄湖生态休闲旅游有限公司,江苏,320507000099657
苏州高新区自来水有限公司,江苏,320512000003306
苏州高新污水处理有限公司,江苏,320512000000814
远东控股集团有限公司,江苏,320282000100726
连云港市东海县宏伟石英制品有限公司,江苏,320722000001027
连云港振兴实业集团有限公司,江苏,320700000001870
连云港桃盛熔融石英有限公司,江苏,320700400001501
连云港神农现代农业发展有限公司,江苏,320700000121094
连云港祥云投资有限公司,江苏,320723000003078
连云港连岛旅游开发有限公司,江苏,320700000005551
邳州市交通工程有限公司,江苏,320382000001252
邳州市恒润城市投资有限公司,江苏,320382000062535
邳州市水利建筑安装工程有限公司,江苏,320382000000410
金坛市国发国际投资发展有限公司,江苏,320482000079771
镇江交通产业集团有限公司,江苏,321100000001704
镇江市丹徒区新农村发展建设有限公司,江苏,321121000056526
镇江市丹徒区科创建设有限公司,江苏,321121000039050
镇江市大港建筑安装工程有限公司,江苏,321191000009657
镇江市风景旅游发展有限责任公司,江苏,321100000087388
